time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable,mapName
1342357157082,        4,        0,       0,       3,         0,            1,map8x8-000
1342357157089,        0,        0,       0,       0,         1,            1,map8x8-001
1342357157352,     3281,       32,     131,     462,         0,            1,map8x8-001
1342357157626,    14947,       42,     186,    2374,         0,            1,map8x8-001
1342357157979,    28714,       48,     214,    4169,         0,            1,map8x8-001
1342357158198,    35654,       48,     255,    5099,         0,            1,map8x8-001
1342357158249,     2375,      286,     299,     895,         0,            1,map8x8-002
1342357158476,    12759,      288,     688,    3767,         0,            1,map8x8-002
1342357158717,    34376,      288,     855,    8923,         0,            1,map8x8-002
1342357158988,    47284,      288,     947,   11912,         0,            1,map8x8-002
1342357159206,    57519,      288,    1068,   13867,         0,            1,map8x8-002
1342357159227,     1158,      418,     275,     263,         0,            1,map8x8-003
1342357159495,    11312,      418,    1798,    1326,         0,            1,map8x8-003
1342357159758,    22359,      418,    3047,    1932,         0,            1,map8x8-003
1342357159979,    33321,      418,    4200,    2532,         0,            1,map8x8-003
1342357160207,    52362,      418,    5480,    4126,         0,            1,map8x8-003
1342357160543,    52681,      418,    5521,    4121,         0,            1,map8x8-003
1342357160588,     3532,      139,     151,    1327,         0,            1,map8x8-004
1342357160849,    15734,      139,     191,    5658,         0,            1,map8x8-004
1342357161105,    23712,      139,     211,    7910,         0,            1,map8x8-004
1342357161468,    36604,      139,      22,   12051,         0,            1,map8x8-004
1342357161778,    40368,      139,      18,   13449,         0,            1,map8x8-004
1342357161827,     2469,       67,     219,     195,         0,            0,map8x8-005
1342357162107,    10217,      160,    1038,     367,         0,            1,map8x8-005
1342357162357,    21554,      164,    1506,     876,         0,            1,map8x8-005
1342357162625,    29845,      166,    1912,    1065,         0,            1,map8x8-005
1342357162827,    32883,      168,    2048,    1120,         0,            1,map8x8-005
1342357162868,     2494,       67,       0,     604,         0,            1,map8x8-006
1342357162873,        6,        0,       0,       5,         0,            1,map8x8-007
1342357162912,     2081,       64,      53,     746,         0,            1,map8x8-008
1342357163155,    10275,       64,       0,    3032,         0,            1,map8x8-008
1342357163176,      755,       24,      51,     164,         0,            1,map8x8-009
1342357163438,    10418,       24,     106,    1323,         0,            1,map8x8-009
1342357163711,    20028,       24,     140,    1877,         0,            1,map8x8-009
1342357163933,    33179,       24,     161,    3539,         0,            1,map8x8-009
1342357164164,    48582,       24,     174,    4701,         0,            1,map8x8-009
1342357164173,        6,        0,       0,       5,         0,            1,map8x8-010
1342357164179,        0,        0,       0,       0,         1,            1,map8x8-011
1342357164381,     4308,       66,       0,    1984,         0,            1,map8x8-011
