time         ,iter.    ,bestScore,live    ,dead
1342349028034,       51,       44,      23,      -1
1342349028234,    62459,       44,     375,    3437
1342349028434,   103545,       44,     545,    5559
1342349028635,   163914,       44,     594,    7232
1342349028835,   216815,       44,     797,    8271
1342349029035,   275821,       44,    1228,   10571
1342349029235,   327466,       44,    1277,   14450
1342349029466,   384220,       44,    1457,   16133
1342349029666,   441311,       44,    1603,   16764
1342349029866,   492037,       44,    1520,   17631
1342349030066,   552014,       44,    1436,   18309
1342349030266,   601851,       44,    1484,   21380
1342349030466,   660545,       44,    1524,   22697
1342349030666,   708534,       44,    1482,   23324
1342349030867,   768395,       44,    1318,   24360
1342349031067,   815929,       44,    1521,   24846
1342349031288,   868972,       44,    1648,   25846
1342349031495,   933399,       44,    1693,   29616
1342349031695,   982777,       44,    1690,   30805
1342349031895,  1044014,       44,    1913,   33222
1342349032095,  1097902,       44,    1894,   33584
1342349032295,  1157522,       44,    2495,   36055
1342349032495,  1207808,       44,    2734,   36995
1342349032695,  1267136,       44,    2831,   37485
1342349032896,  1317425,       44,    2880,   37652
1342349033096,  1376049,       44,    2835,   37965
1342349033296,  1428072,       44,    3248,   41317
1342349033540,  1486735,       44,    3565,   44550
1342349033740,  1548361,       44,    3491,   47044
1342349033948,  1595003,       44,    3474,   48540
1342349034148,  1657804,       44,    3228,   49856
1342349034348,  1710150,       44,    3071,   50451
1342349034548,  1771018,       44,    2960,   51427
1342349034748,  1824504,       44,    2803,   51693
1342349034949,  1887088,       44,    2852,   51768
1342349035149,  1941459,       44,    2751,   51880
1342349035349,  2002726,       44,    2688,   51949
1342349035549,  2053013,       44,    2851,   51954
1342349035752,  2114795,       44,    3067,   52276
1342349035959,  2163636,       44,    3096,   52446
1342349036160,  2226083,       44,    2932,   52688
1342349036360,  2271254,       44,    2667,   53056
1342349036560,  2332857,       44,    2783,   53103
1342349037262,  2378164,       44,    2959,   52937
1342349037462,  2440018,       44,    3153,   52971
1342349037664,  2492162,       44,    3336,   53050
1342349037864,  2552907,       44,    3503,   53044
1342349038086,  2609758,       44,    3535,   53013
1342349038286,  2673690,       44,    3244,   53362
1342349038486,  2726092,       44,    3582,   53146
1342349038686,  2791224,       44,    3589,   53139
1342349038886,  2844921,       44,    3354,   53375
1342349039086,  2905591,       44,    3519,   53211
1342349039323,  2961560,       44,    3392,   53442
1342349039523,  3019895,       44,    3526,   53417
1342349039764,  3077584,       44,    3757,   53394
1342349039964,  3136104,       44,    3944,   55119
1342349040198,  3193724,       44,    3981,   56621
1342349040398,  3254209,       44,    4106,   58422
1342349040641,  3310887,       44,    4093,   59546
1342349040841,  3367593,       44,    3858,   61409
1342349041068,  3429244,       44,    3591,   62752
1342349041271,  3490893,       44,    4187,   65998
1342349041489,  3546876,       44,    4183,   66917
1342349041689,  3607598,       44,    4102,   67772
1342349041903,  3665709,       44,    3936,   68152
1342349042103,  3726839,       44,    3877,   68427
1342349042325,  3785318,       44,    4120,   69115
1342349042535,  3848571,       44,    4184,   69145
1342349042770,  3905434,       44,    4022,   69448
1342349042970,  3967263,       44,    3816,   69734
1342349043170,  3985794,       44,    3667,   69913
