iterations-sum,iterations-avg,bestScore-sum,bestScore-avg,liveStates-sum,liveStates-avg,deadStates-sum,deadStates-avg,liftReachable-avg,remainingLamdas-avg,remainingLambdas-max,remainingLambdasMax-map,Up,Wait,Right,Left,Down,ClosestManhattanLambda,ClosestManhattanLift
178272,17827.2,5858,585.8,23327,2332.7,25626,2562.6,0.1,0.0,11,map9,180.8,18.1,166.9,175.9,160.6,231.7,14.5

time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable,mapName
1342353678379,        0,        0,       0,       0,         3,            1,map1
1342353678621,     4961,      212,     139,     863,         0,            1,map1
1342353678822,    11947,      212,       0,    1553,         0,            1,map1
1342353678876,      233,      986,     159,      10,         3,            0,map10
1342353679101,     2062,      986,    1035,      -7,         3,            0,map10
1342353679326,     3524,      986,    1998,     -78,         3,            0,map10
1342353679577,     5289,      986,    3001,    -169,         3,            0,map10
1342353679819,     6433,      986,    3763,    -178,         3,            0,map10
1342353680037,     6495,      986,    3811,    -191,         3,            0,map10
1342353680187,     5000,       68,     414,     177,         1,            1,map2
1342353680440,    16364,       83,    1167,     522,         0,            0,map2
1342353680775,    26864,       83,    2032,     632,         0,            0,map2
1342353681068,    38084,       83,    2622,    1197,         0,            0,map2
1342353681297,    38084,       83,    2622,    1197,         0,            0,map2
1342353681350,     2129,      275,     295,     477,         0,            1,map3
1342353681623,    12156,      275,    1124,    3575,         0,            1,map3
1342353681915,    18589,      275,    1464,    5634,         0,            1,map3
1342353682193,    27326,      275,    2006,    8292,         0,            1,map3
1342353682410,    30580,      275,    2262,    9193,         0,            1,map3
1342353682566,     1960,      575,     312,     654,         0,            1,map4
1342353682862,     8717,      575,    1352,    2822,         0,            1,map4
1342353683188,    15883,      575,    2502,    5092,         0,            1,map4
1342353683479,    24581,      575,    3515,    7664,         0,            1,map4
1342353683558,      626,      353,     250,      22,         3,            1,map5
1342353683808,     2217,      353,     740,      58,         3,            1,map5
1342353684076,     5637,      353,    1580,     -18,         3,            1,map5
1342353684344,     8472,      353,    2122,     262,         3,            1,map5
1342353684551,    13500,     1301,    2578,    1969,         0,            1,map5
1342353684603,      944,      337,     250,      31,         1,            1,map6
1342353684865,     3616,      337,     679,     299,         1,            1,map6
1342353685125,     8192,      337,     936,     585,         1,            1,map6
1342353685435,    13651,      337,     938,    1789,         1,            1,map6
1342353685719,    16119,      337,     925,    2407,         1,            1,map6
1342353685767,     2186,      867,     389,     247,         0,            1,map7
1342353686061,     7224,      869,    1099,     724,         0,            1,map7
1342353686352,    15415,      869,    2084,    1442,         0,            1,map7
1342353686656,    23846,      869,    2960,    2182,         0,            1,map7
1342353686862,    26208,      869,    3187,    2442,         0,            1,map7
1342353686915,     1236,      397,     507,      -7,        10,            0,map8
1342353687191,     3854,      506,    1616,    -229,         3,            0,map8
1342353688027,     5565,      506,    2212,    -236,         3,            0,map8
1342353688056,      453,      714,     240,       4,        11,            0,map9
1342353688388,     1588,      714,     669,     -46,        11,            0,map9
1342353688663,     3157,      714,    1324,    -272,        11,            0,map9
1342353688901,     4292,      714,    1828,    -295,        11,            0,map9
1342353689129,     5193,      714,    2215,    -372,        11,            0,map9
