time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable,mapName
1342359400415,        0,        0,       0,       0,        28,            1,map8
1342359400616,     2467,      572,    1060,      -4,         1,            0,map8
1342359400816,     7922,      589,    2134,     -25,         0,            0,map8
1342359401016,    18749,      589,    4244,    -242,         0,            0,map8
1342359401216,    35314,      589,    7963,    -604,         0,            0,map8
1342359401416,    46195,      589,   10548,    -752,         0,            0,map8
1342359401623,    53966,      589,   11994,   -1031,         0,            0,map8
1342359401823,    63071,      589,   12594,    1004,         0,            0,map8
1342359402023,    72568,      589,   12822,    4247,         0,            0,map8
1342359402223,    82108,      589,   12934,    7535,         0,            0,map8
1342359402424,    93208,      589,   12947,   11569,         0,            0,map8
1342359402624,   102971,      589,   13080,   14881,         0,            0,map8
1342359402824,   113786,      589,   13231,   18619,         0,            0,map8
1342359403024,   124157,      589,   13411,   21762,         0,            0,map8
1342359403224,   133632,      589,   13575,   24599,         0,            0,map8
1342359403445,   143013,      589,   13693,   27701,         0,            0,map8
1342359403646,   154079,      589,   13720,   31699,         0,            0,map8
1342359403846,   165077,      589,   13653,   35500,         0,            0,map8
1342359404046,   175371,      589,   13917,   38230,         0,            0,map8
1342359404246,   186352,      589,   14019,   41909,         0,            0,map8
1342359404446,   195410,      589,   14069,   44644,         0,            0,map8
1342359404647,   206513,      589,   14146,   48127,         0,            0,map8
1342359404847,   217221,      589,   14344,   51140,         0,            0,map8
1342359405047,   227223,      589,   14816,   53988,         0,            0,map8
1342359405247,   237099,      589,   15188,   56701,         0,            0,map8
1342359405560,   241662,      589,   15277,   57935,         0,            0,map8
1342359405760,   251238,      589,   15714,   60136,         0,            0,map8
1342359405961,   261616,      589,   15952,   62708,         0,            0,map8
1342359406161,   272202,      589,   16125,   65499,         0,            0,map8
1342359406361,   282549,      589,   16324,   68247,         0,            0,map8
1342359406561,   292536,      589,   16698,   70762,         0,            0,map8
1342359406761,   301241,      589,   16838,   73525,         0,            0,map8
1342359406962,   311850,      589,   16995,   76676,         0,            0,map8
1342359407162,   322761,      589,   17090,   79945,         0,            0,map8
1342359407362,   332524,      589,   17201,   82753,         0,            0,map8
1342359407562,   341581,      589,   17779,   84572,         0,            0,map8
1342359407762,   349851,      589,   17950,   86704,         0,            0,map8
1342359407963,   360235,      589,   18271,   89354,         0,            0,map8
1342359408163,   370425,      589,   18518,   91731,         0,            0,map8
1342359408363,   380697,      589,   18894,   94291,         0,            0,map8
1342359408563,   390758,      589,   19337,   96614,         0,            0,map8
1342359408959,   396153,      589,   19468,   97815,         0,            0,map8
1342359409159,   405976,      589,   19815,  100122,         0,            0,map8
1342359409359,   415611,      589,   20365,  102387,         0,            0,map8
1342359409559,   425991,      589,   20687,  105120,         0,            0,map8
1342359409759,   436479,      589,   20968,  108055,         0,            0,map8
1342359409959,   446494,      589,   21402,  110726,         0,            0,map8
1342359410160,   456100,      589,   21547,  113480,         0,            0,map8
1342359410360,   467122,      589,   21701,  117114,         0,            0,map8
1342359410560,   469743,      589,   21807,  117784,         0,            0,map8
1342359410584,        0,        0,       1,      -1,        12,            1,map7
1342359410784,     7547,      869,    1387,     721,         0,            1,map7
1342359410984,    14361,      869,    2381,    1262,         0,            1,map7
1342359411184,    27442,      869,    4170,    2442,         0,            1,map7
1342359411399,    76995,      869,    8021,    7501,         0,            1,map7
1342359411599,   132685,      869,   12767,   10524,         0,            1,map7
1342359411799,   188849,      869,   16881,   13667,         0,            1,map7
1342359411999,   234997,      869,   19534,   16070,         0,            1,map7
1342359412199,   294629,      869,   22679,   19448,         0,            1,map7
1342359412400,   354405,      869,   25907,   23868,         0,            1,map7
1342359412653,   366436,      869,   26491,   24517,         0,            1,map7
1342359412853,   428768,      869,   29246,   27601,         0,            1,map7
1342359413053,   490688,      869,   32498,   29951,         0,            1,map7
1342359413253,   540929,      869,   36133,   30932,         0,            1,map7
1342359413453,   606252,      869,   38399,   33377,         0,            1,map7
1342359413654,   656426,      869,   40803,   35029,         0,            1,map7
1342359413854,   720000,      869,   43611,   37342,         0,            1,map7
1342359414054,   787235,      869,   45795,   40111,         0,            1,map7
1342359414254,   833750,      869,   47800,   41566,         0,            1,map7
1342359414454,   895888,      869,   50707,   43086,         0,            1,map7
1342359414947,   937946,      869,   52765,   43623,         0,            1,map7
1342359415147,   995516,      869,   55304,   43914,         0,            1,map7
1342359415347,  1062644,      869,   57619,   44438,         0,            1,map7
1342359415547,  1112802,      869,   59155,   45131,         0,            1,map7
1342359415747,  1175000,      869,   61337,   45305,         0,            1,map7
1342359415965,  1234472,      869,   63402,   45443,         0,            1,map7
1342359416166,  1302890,      869,   64993,   47168,         0,            1,map7
1342359416366,  1373245,      869,   66417,   47834,         0,            1,map7
1342359416566,  1430000,      869,   68615,   48483,         0,            1,map7
1342359416766,  1501462,      869,   71367,   48744,         0,            1,map7
1342359416966,  1555570,      869,   73403,   48350,         0,            1,map7
1342359417166,  1622056,      869,   75383,   47728,         0,            1,map7
1342359417367,  1695387,      869,   76280,   48441,         0,            1,map7
1342359417567,  1749887,      869,   77515,   48920,         0,            1,map7
1342359417767,  1818592,      869,   78795,   49806,         0,            1,map7
1342359417967,  1874258,      869,   79883,   50137,         0,            1,map7
1342359418167,  1938959,      869,   82575,   49222,         0,            1,map7
1342359418367,  2005110,      869,   83881,   49494,         0,            1,map7
1342359418922,  2021614,      869,   84161,   50323,         0,            1,map7
1342359419122,  2087303,      869,   85245,   52787,         0,            1,map7
1342359419322,  2154186,      869,   86586,   52902,         0,            1,map7
1342359419523,  2213980,      869,   86884,   54145,         0,            1,map7
1342359419723,  2280000,      869,   88402,   54387,         0,            1,map7
1342359419944,  2342578,      869,   90220,   53651,         0,            1,map7
1342359420145,  2413966,      869,   90942,   54522,         0,            1,map7
1342359420345,  2481996,      869,   91941,   54961,         0,            1,map7
1342359420545,  2532579,      869,   93090,   55493,         0,            1,map7
1342359420745,  2544304,      869,   93689,   55422,         0,            1,map7
1342359420761,        0,        0,       0,       0,         3,            1,map1
1342359420961,    10346,      212,       0,    1491,         0,            1,map1
1342359420966,        0,        0,       1,      -1,        51,            1,map10
1342359421166,     3422,     1067,     710,     905,         0,            0,map10
1342359421366,     6827,     1067,    1201,    1573,         0,            0,map10
1342359421567,    10220,     1067,    1702,    1844,         0,            0,map10
1342359421767,    13311,     1067,    2119,    2272,         0,            0,map10
1342359421967,    16859,     1067,    2640,    2427,         0,            0,map10
1342359422167,    20480,     1067,    3136,    2325,         0,            0,map10
1342359422367,    24136,     1067,    3577,    2341,         0,            0,map10
1342359422567,    27836,     1067,    4020,    2315,         0,            0,map10
1342359422768,    31054,     1067,    4394,    2425,         0,            0,map10
1342359422968,    34875,     1067,    4806,    2432,         0,            0,map10
1342359423168,    38490,     1067,    5250,    2291,         0,            0,map10
1342359423368,    42351,     1067,    5670,    2108,         0,            0,map10
1342359423568,    46118,     1067,    6136,    1846,         0,            0,map10
1342359423769,    49226,     1067,    6475,    1700,         0,            0,map10
1342359423969,    53123,     1067,    6871,    1774,         0,            0,map10
1342359424169,    56948,     1067,    7298,    1601,         0,            0,map10
1342359424369,    60838,     1067,    7694,    1399,         0,            0,map10
1342359424574,    64518,     1067,    8096,    1258,         0,            0,map10
1342359424775,    68274,     1067,    8528,    1006,         0,            0,map10
1342359424975,    72399,     1067,    8889,     908,         0,            0,map10
1342359425175,    76138,     1067,    9331,     711,         0,            0,map10
1342359425375,    79811,     1067,    9771,     478,         0,            0,map10
1342359425575,    83338,     1067,   10190,     165,         0,            0,map10
1342359425775,    87096,     1067,   10610,       4,         0,            0,map10
1342359425976,    90904,     1067,   11059,    -284,         0,            0,map10
1342359426176,    94696,     1067,   11496,    -557,         0,            0,map10
1342359426376,    98497,     1067,   11938,    -956,         0,            0,map10
1342359426576,   102072,     1067,   12351,   -1280,         0,            0,map10
1342359426776,   105774,     1067,   12776,   -1538,         0,            0,map10
1342359426977,   109535,     1067,   13216,   -1822,         0,            0,map10
1342359427177,   113324,     1067,   13644,   -2099,         0,            0,map10
1342359427396,   117166,     1067,   14065,   -2464,         0,            0,map10
1342359427596,   121008,     1067,   14516,   -2791,         0,            0,map10
1342359427796,   124854,     1067,   14963,   -3149,         0,            0,map10
1342359427996,   128697,     1067,   15392,   -3523,         0,            0,map10
1342359428197,   132621,     1067,   15799,   -3891,         0,            0,map10
1342359428397,   135991,     1067,   16221,   -4158,         0,            0,map10
1342359428597,   139683,     1067,   16661,   -4517,         0,            0,map10
1342359428797,   143555,     1067,   17041,   -4743,         0,            0,map10
1342359428997,   147399,     1067,   17469,   -5019,         0,            0,map10
1342359429198,   151161,     1067,   17921,   -5400,         0,            0,map10
1342359429398,   154439,     1067,   18312,   -5730,         0,            0,map10
1342359429598,   158280,     1067,   18748,   -6100,         0,            0,map10
1342359429798,   161939,     1067,   19214,   -6391,         0,            0,map10
1342359429998,   165790,     1067,   19614,   -6767,         0,            0,map10
1342359430199,   169588,     1067,   20066,   -7196,         0,            0,map10
1342359430399,   172794,     1067,   20421,   -7498,         0,            0,map10
1342359430599,   176708,     1067,   20840,   -7855,         0,            0,map10
1342359430799,   180665,     1067,   21223,   -8109,         0,            0,map10
1342359430999,   183846,     1067,   21582,   -8422,         0,            0,map10
1342359431010,        0,        0,       1,      -1,         4,            1,map3
1342359431211,    46883,      275,    3593,   14183,         0,            1,map3
1342359431411,   107685,      275,    6909,   30423,         0,            1,map3
1342359431611,   164598,      275,    9702,   43881,         0,            1,map3
1342359431923,   186259,      275,   10358,   49349,         0,            1,map3
1342359432124,   252232,      275,   13341,   64538,         0,            1,map3
1342359432324,   319826,      275,   15357,   79310,         0,            1,map3
1342359432524,   365006,      275,   17433,   87825,         0,            1,map3
1342359432724,   438666,      275,   19329,  104157,         0,            1,map3
1342359432924,   485018,      275,   20150,  115200,         0,            1,map3
1342359433124,   560000,      275,   20660,  132919,         0,            1,map3
1342359433378,   617406,      275,   21973,  144589,         0,            1,map3
1342359433578,   691839,      275,   23014,  158750,         0,            1,map3
1342359433779,   758954,      275,   22998,  173867,         0,            1,map3
1342359433979,   793952,      275,   23093,  181848,         0,            1,map3
1342359434179,   872442,      275,   22947,  199360,         0,            1,map3
1342359434379,   908503,      275,   23054,  208176,         0,            1,map3
1342359434579,   981117,      275,   22930,  225289,         0,            1,map3
1342359434779,  1007546,      275,   22906,  230942,         0,            1,map3
1342359434980,  1079263,      275,   22757,  246989,         0,            1,map3
1342359435180,  1105124,      275,   22670,  252470,         0,            1,map3
1342359436062,  1165106,      275,   22732,  264980,         0,            1,map3
1342359436263,  1229209,      275,   22671,  278553,         0,            1,map3
1342359436463,  1263317,      275,   22880,  285587,         0,            1,map3
1342359436728,  1319097,      275,   22691,  297064,         0,            1,map3
1342359436928,  1388361,      275,   22989,  311933,         0,            1,map3
1342359437128,  1439944,      275,   23065,  323080,         0,            1,map3
1342359437349,  1500180,      275,   22880,  335281,         0,            1,map3
1342359437550,  1568898,      275,   22635,  348645,         0,            1,map3
1342359437750,  1620500,      275,   22639,  357985,         0,            1,map3
1342359437950,  1683182,      275,   22670,  370547,         0,            1,map3
1342359438150,  1706064,      275,   22909,  375400,         0,            1,map3
1342359438350,  1781026,      275,   22930,  391407,         0,            1,map3
1342359439365,  1794326,      275,   22887,  394037,         0,            1,map3
1342359439565,  1867476,      275,   23170,  406223,         0,            1,map3
1342359439766,  1929091,      275,   23264,  416112,         0,            1,map3
1342359439966,  1999104,      275,   23334,  429503,         0,            1,map3
1342359440166,  2046193,      275,   23414,  437782,         0,            1,map3
1342359440387,  2102921,      275,   24875,  446866,         0,            1,map3
1342359440587,  2176951,      275,   25659,  459015,         0,            1,map3
1342359440787,  2219675,      275,   27351,  465310,         0,            1,map3
1342359440987,  2290195,      275,   29153,  476725,         0,            1,map3
1342359441188,  2297230,      275,   29399,  477428,         0,            1,map3
1342359441197,        0,        0,       0,       0,         4,            1,map2
1342359441398,    50951,      266,     586,    5740,         0,            1,map2
1342359441598,   120295,      266,    1797,   11966,         0,            1,map2
1342359441798,   171829,      266,    5352,   15341,         0,            1,map2
1342359441998,   240012,      266,    7526,   20466,         0,            1,map2
1342359442198,   294290,      266,    8809,   24763,         0,            1,map2
1342359442398,   363423,      266,   10489,   30196,         0,            1,map2
1342359442598,   429134,      266,   12816,   33599,         0,            1,map2
1342359442799,   479082,      266,   13918,   37961,         0,            1,map2
1342359442999,   549437,      266,   14844,   45367,         0,            1,map2
