time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable,mapName
1342388875115,        0,        0,       1,      -1,        44,            1,beard4
1342388875316,       17,      677,    3386,   -3386,        30,            1,beard4
1342388875516,       18,      702,    5545,   -5545,        29,            1,beard4
1342388875716,       19,      751,    9092,   -9092,        28,            1,beard4
1342388875916,       20,      800,   12145,  -12145,        27,            1,beard4
1342388876116,       20,      800,   12145,  -12145,        27,            1,beard4
1342388876316,       21,      849,   15312,  -15312,        26,            1,beard4
1342388876704,       21,      849,   15312,  -15312,        26,            1,beard4
1342388876904,       22,      898,   17146,  -17146,        25,            1,beard4
1342388877104,       22,      898,   17146,  -17146,        25,            1,beard4
1342388877304,       23,      947,   14620,  -14620,        24,            1,beard4
1342388877504,       23,      947,   14620,  -14620,        24,            1,beard4
1342388877705,       24,      947,   14590,  -14590,        24,            1,beard4
1342388877906,       24,      947,   14590,  -14590,        24,            1,beard4
1342388878106,       25,      992,   13942,  -13942,        23,            1,beard4
1342388878306,       25,      992,   13942,  -13942,        23,            1,beard4
1342388878506,       25,      992,   13947,  -13947,        23,            1,beard4
