time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable,mapName
1342388891755,        0,        0,       0,       0,         8,            1,flood5
1342388891956,       19,      330,   10938,  -10938,         1,            1,flood5
1342388892156,       20,      330,   13038,  -13038,         1,            1,flood5
1342388892362,       22,      330,   15239,  -15239,         1,            1,flood5
1342388892562,       23,      330,   15383,  -15383,         1,            1,flood5
1342388892762,       24,      330,   15453,  -15453,         1,            1,flood5
1342388892962,       26,      330,   14962,  -14962,         1,            1,flood5
1342388893162,       27,      330,   14646,  -14646,         1,            1,flood5
1342388893362,       29,      330,   14326,  -14326,         1,            1,flood5
1342388893563,       30,      330,   14215,  -14215,         1,            1,flood5
1342388893763,       32,      330,   14009,  -14009,         1,            1,flood5
1342388893964,       33,      330,   14026,  -14026,         1,            1,flood5
1342388894166,       35,      330,   13757,  -13757,         1,            1,flood5
1342388894367,       36,      330,   13600,  -13600,         1,            1,flood5
1342388894567,       38,      330,   13566,  -13566,         1,            1,flood5
1342388894767,       39,      330,   12742,  -12740,         1,            1,flood5
1342388894968,       39,      330,   13431,  -13431,         1,            1,flood5
