time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable,mapName
1342388894984,        9,      368,     122,    -122,        -1,            1,horock1
1342388895184,       15,      372,    3045,   -3045,        -1,            1,horock1
1342388895384,       16,      372,    5164,   -5164,        -1,            1,horock1
1342388895585,       17,      372,    8594,   -8594,        -1,            1,horock1
1342388895785,       18,      372,   11871,  -11871,        -1,            1,horock1
1342388895985,       18,      372,   11871,  -11871,        -1,            1,horock1
1342388896208,       19,      372,   14521,  -14521,        -1,            1,horock1
1342388896408,       20,      372,   16766,  -16766,        -1,            1,horock1
1342388896640,       20,      372,   16766,  -16766,        -1,            1,horock1
1342388896843,       21,      372,   14784,  -14784,        -1,            1,horock1
1342388897077,       22,      372,   15601,  -15601,        -1,            1,horock1
1342388897277,       23,      372,   15071,  -15071,        -1,            1,horock1
1342388897477,       23,      372,   15071,  -15071,        -1,            1,horock1
1342388897677,       24,      372,   15442,  -15442,        -1,            1,horock1
1342388897877,       25,      372,   15093,  -15093,        -1,            1,horock1
1342388898078,       25,      372,   15194,  -15194,        -1,            1,horock1
