time         ,iter.    ,bestScore,live    ,dead
1342289171378,      212,       84,      49,      19
1342289171578,    47535,       84,    7490,    4303
1342289172281,    50467,       84,    7960,    4510
1342289172517,   104465,       84,   15261,    9531
1342289172717,   157091,       84,   22559,   14446
1342289172917,   197093,       84,   28227,   18046
1342289173117,   229240,       84,   32353,   21017
1342289173358,   271849,       84,   38265,   24844
1342289173615,   326706,       84,   45128,   29676
1342289173821,   378141,       84,   51667,   34260
1342289174931,   382135,       84,   52215,   34600
1342289175131,   382135,       84,   52215,   34600
