time         ,iter.    ,bestScore,live    ,dead
1342355641682,        0,        0,       1,      -1
1342355641884,    14660,      385,    2784,    1996
1342355642084,    30292,      385,    5105,    4295
1342355642284,    44698,      389,    7113,    6600
1342355642484,    60841,      389,    9329,    8706
1342355642684,    73949,      389,   11074,   10982
1342355642884,    89551,      389,   13387,   13422
1342355643084,   102176,      389,   15018,   15704
1342355643284,   118988,      389,   17049,   18857
1342355643838,   128320,      389,   17689,   20797
1342355644039,   146795,      389,   19178,   24600
1342355644242,   163148,      389,   20501,   28015
1342355644444,   179911,      389,   22149,   31312
1342355644644,   193240,      389,   23603,   33809
1342355644844,   205581,      391,   25126,   35949
1342355645044,   222277,      391,   27037,   38557
1342355645244,   235286,      391,   28278,   40711
1342355645444,   251255,      391,   30005,   42994
1342355645682,   261356,      391,   31107,   44384
1342355645882,   279610,      391,   32591,   47564
1342355646152,   295777,      391,   34034,   50668
1342355646352,   313607,      391,   35626,   53623
1342355646648,   328899,      391,   36699,   56078
1342355646850,   346098,      391,   38213,   58850
1342355647163,   360457,      391,   39810,   60994
1342355647363,   377058,      391,   41396,   63774
1342355647636,   386886,      391,   42692,   65051
1342355647836,   402148,      391,   44954,   66767
1342355648078,   411567,      391,   46336,   67758
1342355648278,   426511,      391,   48879,   68964
1342355648522,   433534,      391,   49726,   69697
1342355648722,   448244,      391,   51267,   71743
1342355648936,   458061,      391,   52078,   73295
1342355649137,   475957,      391,   53738,   75663
1342355649373,   483444,      391,   54335,   76923
1342355649573,   499219,      391,   55005,   80513
1342355649888,   508518,      391,   55998,   81508
1342355650088,   524895,      391,   57425,   83703
1342355650288,   534711,      391,   58833,   84895
1342355650488,   548706,      391,   60716,   86433
1342355650688,   560713,      391,   61968,   87772
1342355650888,   579678,      391,   63134,   91193
1342355651089,   594676,      391,   64210,   93641
1342355651327,   610262,      391,   65195,   96171
1342355651527,   627525,      391,   66768,   98491
1342355651727,   642893,      391,   67452,  101435
1342355651927,   661196,      391,   68656,  104393
1342355652127,   669784,      391,   69287,  105696
1342355652327,   688175,      391,   70427,  107820
1342355652527,   700631,      391,   71296,  109778
1342355652727,   719320,      391,   72529,  112334
1342355652928,   730190,      391,   73016,  114325
1342355653128,   748044,      391,   73909,  117172
1342355653328,   757203,      391,   74750,  118304
1342355653528,   773066,      391,   76061,  121054
1342355653801,   785275,      391,   76905,  123225
1342355654001,   802707,      391,   78191,  125944
1342355654250,   812750,      391,   79011,  127549
1342355654450,   829039,      391,   80644,  129523
1342355654684,   839924,      391,   81284,  131294
1342355654884,   856764,      391,   82266,  133856
1342355655108,   865131,      391,   82990,  135139
1342355655308,   881907,      391,   84772,  137403
1342355655511,   888380,      391,   85448,  138020
1342355655711,   905691,      391,   87129,  140603
1342355655911,   912111,      391,   87876,  141189
1342355656111,   929586,      391,   89449,  143694
1342355656336,   934035,      391,   89943,  144173
1342355656536,   951212,      391,   91866,  146236
1342355656736,   957556,      391,   92339,  147242
