time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable,mapName
1342352861195,     2326,      337,     475,     155,         1,            1,map6
1342352861418,    10146,      337,     938,    1015,         1,            1,map6
1342352861719,    19386,      337,     901,    3150,         1,            1,map6
1342352862116,    28803,      337,     946,    5099,         1,            1,map6
1342352862362,    34369,      337,     974,    5672,         1,            1,map6
1342352862642,    40034,      337,    1010,    6141,         1,            1,map6
1342352862929,    45502,      337,    1145,    6613,         1,            1,map6
1342352863205,    53531,      337,    1140,    7177,         1,            1,map6
1342352863437,    60691,      337,    1544,    7688,         1,            1,map6
1342352863650,    70115,      337,    1699,    9065,         1,            1,map6
1342352863887,    79967,      337,    1696,   10043,         1,            1,map6
1342352864212,    89280,      337,    1714,   10904,         1,            1,map6
1342352864426,    98954,      337,    1708,   11727,         1,            1,map6
1342352864669,   111101,      337,    1716,   13195,         1,            1,map6
1342352864953,   120580,      337,    1725,   14237,         1,            1,map6
1342352865167,   130075,      337,    1766,   15118,         1,            1,map6
1342352865373,   139551,      337,    1827,   16185,         1,            1,map6
1342352865580,   148911,      337,    1878,   16896,         1,            1,map6
1342352865790,   154632,      337,    1896,   17358,         1,            1,map6
1342352865994,   165089,      337,    1758,   18670,         1,            1,map6
1342352866201,   174787,      337,    1752,   19335,         1,            1,map6
1342352866465,   184254,      337,    1777,   20981,         1,            1,map6
1342352866708,   193576,      337,    1890,   22683,         1,            1,map6
1342352866911,   202884,      337,    1881,   23295,         1,            1,map6
1342352867199,   214601,      337,    1897,   24501,         1,            1,map6
1342352867432,   226541,      337,    1819,   25343,         1,            1,map6
1342352867661,   237988,      337,    1857,   26049,         1,            1,map6
1342352867906,   245910,      337,    1839,   26506,         1,            1,map6
1342352868129,   257987,      337,    1937,   28085,         1,            1,map6
1342352868357,   270265,      337,    2013,   28904,         1,            1,map6
1342352868589,   281390,      337,    2070,   29522,         1,            1,map6
1342352868803,   290750,      337,    2513,   29823,         1,            1,map6
1342352869026,   300838,      337,    3359,   29912,         1,            1,map6
1342352869231,   308462,      337,    3413,   31020,         1,            1,map6
1342352869462,   319650,      337,    3578,   31259,         1,            1,map6
1342352869721,   331276,      337,    3612,   31384,         1,            1,map6
1342352869930,   339634,      337,    3623,   31546,         1,            1,map6
1342352870162,   351024,      337,    3694,   32350,         1,            1,map6
1342352870393,   354770,      337,    3745,   32345,         1,            1,map6
1342352870858,   362552,      337,    3765,   32532,         1,            1,map6
1342352871131,   364637,      337,    3729,   32640,         1,            1,map6
1342352871411,   369078,      337,    3560,   33007,         1,            1,map6
1342352872011,   370853,      337,    3766,   33080,         1,            1,map6
1342352872245,   375029,      337,    4344,   32855,         1,            1,map6
1342352872477,   383310,      337,    5011,   32647,         1,            1,map6
1342352872724,   392077,      337,    5754,   32304,         1,            1,map6
1342352872935,   398505,      337,    6703,   31704,         1,            1,map6
1342352873190,   410948,      337,    7722,   31367,         1,            1,map6
1342352873430,   420850,      337,    9398,   29816,         1,            1,map6
1342352873648,   428118,      337,   10953,   28368,         1,            1,map6
1342352873880,   437748,      337,   12858,   26483,         1,            1,map6
1342352874114,   447191,      337,   14868,   24532,         1,            1,map6
1342352874384,   457074,      337,   16748,   22752,         1,            1,map6
1342352874612,   466497,      337,   18724,   20903,         1,            1,map6
1342352874849,   475596,      337,   20431,   19344,         1,            1,map6
1342352875112,   485000,      337,   22429,   17470,         1,            1,map6
1342352875316,   494289,      337,   24268,   15711,         1,            1,map6
1342352875523,   504282,      337,   26230,   13749,         1,            1,map6
1342352875761,   513599,      337,   28187,   11979,         1,            1,map6
1342352875979,   521599,      337,   29719,   10447,         1,            1,map6
1342352876179,   528076,      337,   31229,    8994,         1,            1,map6
