time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable
1342352043702,        0,        0,       0,       0,        43,            0,
1342352043932,     2782,      714,    1182,    -261,        11,            0,
1342352044133,     5452,      714,    2328,    -434,        11,            0,
1342352044347,     7655,      714,    3135,    -464,        11,            0,
1342352044584,    11304,      714,    4345,    -703,        11,            0,
1342352044922,    13201,      714,    4738,    -501,        11,            0,
1342352045236,    15181,      714,    5306,    -377,        11,            0,
1342352045515,    17265,      714,    6010,    -360,        11,            0,
1342352045791,    20265,      714,    6295,     129,        11,            0,
1342352046040,    23118,      714,    6560,     586,        11,            0,
1342352046275,    26734,      714,    7286,     622,        11,            0,
1342352046507,    30293,      714,    7676,    1099,        11,            0,
1342352046744,    33859,      714,    8144,    1535,        11,            0,
1342352047013,    38413,      714,    8714,    2101,        11,            0,
1342352047249,    42419,      714,    9331,    2362,        11,            0,
1342352047520,    46719,      714,    9604,    3034,        11,            0,
1342352047742,    49732,      714,    9971,    3432,        11,            0,
1342352047951,    54487,      714,   10038,    4646,        11,            0,
1342352048161,    57828,      714,   10249,    5261,        11,            0,
1342352048380,    61357,      714,   10640,    5708,        11,            0,
1342352048626,    65065,      714,   10954,    6219,        11,            0,
1342352048839,    67784,      714,   11563,    6305,        11,            0,
1342352049107,    70841,      714,   11922,    6561,        11,            0,
1342352049406,    72717,      714,   12246,    6661,        11,            0,
1342352049660,    75768,      714,   12445,    7065,        11,            0,
1342352049892,    79641,      714,   12699,    7740,        11,            0,
1342352050123,    83037,      714,   13125,    7897,        11,            0,
1342352050328,    85739,      714,   13411,    7939,        11,            0,
1342352050552,    88555,      714,   13845,    8121,        11,            0,
1342352050783,    91345,      714,   14157,    8393,        11,            0,
1342352051013,    94347,      714,   14447,    8775,        11,            0,
1342352051218,    97042,      714,   14611,    9424,        11,            0,
1342352051436,    99242,      714,   14763,    9849,        11,            0,
1342352051671,   102342,      714,   15013,   10283,        11,            0,
1342352051906,   105660,      714,   15302,   10792,        11,            0,
1342352052121,   108268,      714,   15511,   11168,        11,            0,
1342352052329,   112710,      714,   15736,   12056,        11,            0,
1342352053002,   116186,      714,   16071,   12468,        11,            0,
1342352053206,   120069,      714,   16353,   12941,        11,            0,
1342352053411,   123856,      714,   16609,   13717,        11,            0,
1342352053637,   127479,      714,   16661,   14536,        11,            0,
1342352053849,   130773,      714,   16926,   14898,        11,            0,
1342352054100,   134100,      714,   17576,   14843,        11,            0,
1342352054322,   137364,      714,   18030,   15142,        11,            0,
1342352054535,   141511,      714,   18362,   15675,        11,            0,
1342352054757,   143906,      714,   18753,   15496,        11,            0,
1342352054980,   147973,      714,   18940,   16259,        11,            0,
1342352055223,   151868,      714,   19306,   16591,        11,            0,
1342352055460,   156078,      714,   19920,   16705,        11,            0,
1342352055983,   159377,      714,   20083,   17280,        11,            0,
1342352056192,   163240,      714,   20382,   18062,        11,            0,
1342352056395,   167609,      714,   20393,   19111,        11,            0,
1342352056610,   171226,      714,   20710,   19581,        11,            0,
1342352056843,   174669,      714,   21105,   19924,        11,            0,
1342352057070,   177979,      714,   21542,   20232,        11,            0,
1342352057270,   181439,      714,   21897,   20548,        11,            0,
1342352057491,   184826,      714,   22322,   20798,        11,            0,
1342352057724,   188529,      714,   22699,   21296,        11,            0,
1342352057988,   192864,      714,   23154,   21839,        11,            0,
1342352058233,   197251,      714,   23557,   22263,        11,            0,
1342352058456,   200978,      714,   23865,   22577,        11,            0,
1342352058686,   203722,      714,   24206,   22900,        11,            0,
1342352058886,   203941,      714,   24242,   22925,        11,            0,
