time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable,mapName
1342388933615,        0,        0,       0,       0,        24,            1,trampoline2
1342388933815,       17,      521,   14202,  -14202,        13,            1,trampoline2
1342388934015,       17,      521,   14202,  -14202,        13,            1,trampoline2
1342388934215,       18,      564,   18415,  -18415,        12,            1,trampoline2
1342388934415,       20,      613,   17847,  -17847,        11,            1,trampoline2
1342388934722,       20,      613,   17847,  -17847,        11,            1,trampoline2
1342388934927,       21,      662,   17427,  -17427,        10,            1,trampoline2
1342388935129,       22,      711,   17346,  -17346,         9,            1,trampoline2
1342388935329,       23,      760,   16978,  -16978,         8,            1,trampoline2
1342388935577,       25,      846,   16525,  -16525,         6,            1,trampoline2
1342388935779,       26,      895,   15992,  -15992,         5,            1,trampoline2
1342388935990,       27,      942,   15891,  -15891,         4,            1,trampoline2
1342388936190,       28,      942,   15531,  -15531,         4,            1,trampoline2
1342388936390,       30,      993,   15274,  -15274,         3,            1,trampoline2
1342388936590,       31,     1041,   15311,  -15311,         2,            1,trampoline2
1342388936790,       31,     1041,   15379,  -15379,         2,            1,trampoline2
