time         ,iter.    ,bestScore,live    ,dead
1342294497514,        0,        0,       0,       0
1342294497715,      323,       70,      56,      21
1342294497915,      668,      257,     129,      59
1342294498115,     2097,      257,     439,     165
1342294498315,     4061,      257,    1012,     288
1342294498515,     6251,      257,    1433,     381
1342294498715,    11550,      257,    3287,     596
1342294498915,    20884,      259,    6203,     900
1342294499115,    36696,      266,   10285,    1380
1342294499315,    60783,      269,   17536,    2362
1342294499570,    83112,      269,   24445,    3528
1342294499770,   115554,      269,   33551,    4563
1342294499970,   137870,      269,   40511,    5197
1342294500170,   168012,      269,   49337,    6406
1342294500370,   180728,      269,   52849,    6901
1342294500570,   217876,      269,   62243,    7490
1342294501050,   228343,      269,   65950,    7892
1342294501353,   260160,      269,   75288,    9207
1342294501553,   294476,      269,   84443,   10320
1342294501753,   307965,      269,   89140,   11019
1342294502558,   328338,      269,   95664,   11989
1342294502857,   362899,      272,  103446,   11737
1342294503124,   396576,      272,  114134,   12462
1342294503387,   430577,      272,  124518,   13565
1342294503587,   462859,      272,  134657,   14496
1342294503787,   482845,      272,  140593,   14889
1342294504654,   498968,      272,  145680,   15478
1342294504854,   533763,      272,  156418,   16680
1342294505054,   561221,      272,  164266,   17440
1342294505255,   582715,      272,  170951,   17874
1342294505455,   612199,      272,  180297,   18710
1342294505655,   625556,      272,  184609,   19320
1342294505956,   653133,      272,  192941,   19953
1342294507399,   686274,      272,  203395,   20820
1342294507599,   706146,      272,  209883,   21508
